fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-07 03:26:07,2025-11-07T03:26:51,Sin sesión,,,,13,AGUA-02,,18.06,17.25,12.19,1427.0,8.12,21.0
2025-11-07 04:26:52,2025-11-07T04:27:36,Sin sesión,,,,13,AGUA-02,,17.94,16.5,12.18,1422.0,8.11,19.0
2025-11-07 05:27:38,2025-11-07T05:28:57,Sin sesión,,,,13,AGUA-02,,17.69,15.25,12.18,1412.0,8.1,9.0
2025-11-07 06:28:56,2025-11-07T06:29:52,Sin sesión,,,,13,AGUA-02,,17.62,14.5,12.18,1405.0,8.11,9.0
2025-11-07 07:30:08,2025-11-07T07:31:35,Sin sesión,,,,13,AGUA-02,,17.06,15.0,12.18,1397.0,8.11,9.0
2025-11-07 08:31:45,2025-11-07T08:32:43,Sin sesión,,,,13,AGUA-02,,16.94,16.75,12.18,1396.0,8.12,9.0
2025-11-07 09:33:10,2025-11-07T09:34:07,Sin sesión,,,,13,AGUA-02,,16.81,19.75,12.22,1403.0,7.87,22.0
2025-11-07 10:34:22,2025-11-07T10:35:06,Sin sesión,,,,13,AGUA-02,,17.25,21.75,12.21,1411.0,7.91,24.0
2025-11-07 11:35:20,2025-11-07T11:36:04,Sin sesión,,,,13,AGUA-02,,17.94,23.75,12.24,1431.0,8.05,22.0
2025-11-07 12:36:18,2025-11-07T12:37:22,Sin sesión,,,,13,AGUA-02,,20.31,25.75,12.24,1446.0,7.17,23.0
2025-11-07 13:37:42,2025-11-07T13:39:12,Sin sesión,,,,13,AGUA-02,,19.69,29.75,12.25,1464.0,6.86,8.0
2025-11-07 14:39:26,2025-11-07T14:40:27,Sin sesión,,,,13,AGUA-02,,20.25,33.5,12.28,1481.0,6.67,8.0
2025-11-07 15:40:59,2025-11-07T15:41:46,Sin sesión,,,,13,AGUA-02,,21.31,37.0,12.3,1498.0,6.92,23.0
2025-11-07 16:42:00,2025-11-07T16:42:45,Sin sesión,,,,13,AGUA-02,,21.62,38.5,12.31,1492.0,7.29,24.0
2025-11-07 17:42:39,2025-11-07T17:44:04,Sin sesión,,,,13,AGUA-02,,22.38,38.75,12.31,1499.0,7.46,9.0
2025-11-07 18:44:15,2025-11-07T18:45:15,Sin sesión,,,,13,AGUA-02,,23.69,35.75,12.31,1495.0,7.73,10.0
2025-11-07 19:45:23,2025-11-07T19:46:28,Sin sesión,,,,13,AGUA-02,,21.19,31.25,12.3,1452.0,8.01,21.0
2025-11-07 20:46:08,2025-11-07T20:47:04,Sin sesión,,,,13,AGUA-02,,20.81,27.0,12.25,1422.0,8.14,25.0
2025-11-07 21:46:57,2025-11-07T21:47:41,Sin sesión,,,,13,AGUA-02,,20.62,24.75,12.26,1408.0,8.16,23.0
2025-11-07 22:47:34,2025-11-07T22:48:18,Sin sesión,,,,13,AGUA-02,,20.62,22.25,12.24,1396.0,8.18,23.0
2025-11-07 23:48:11,2025-11-07T23:49:05,Sin sesión,,,,13,AGUA-02,,20.25,20.5,12.24,1386.0,8.16,19.0
2025-11-08 00:49:03,2025-11-08T00:49:57,Sin sesión,,,,13,AGUA-02,,20.0,19.5,12.23,1376.0,8.13,23.0
2025-11-08 01:49:57,2025-11-08T01:51:02,Sin sesión,,,,13,AGUA-02,,19.81,18.75,12.23,1368.0,8.14,23.0
2025-11-08 02:51:01,2025-11-08T02:52:06,Sin sesión,,,,13,AGUA-02,,19.56,17.75,12.19,1360.0,8.11,19.0
2025-11-08 03:52:05,2025-11-08T03:52:59,Sin sesión,,,,13,AGUA-02,,19.38,16.75,12.19,1358.0,8.09,21.0
2025-11-08 05:53:52,2025-11-08T05:54:36,Sin sesión,,,,13,AGUA-02,,18.81,15.0,12.18,1344.0,8.05,22.0
2025-11-08 08:57:39,2025-11-08T08:58:37,Sin sesión,,,,13,AGUA-02,,17.81,18.75,12.19,1336.0,7.95,8.0
2025-11-08 09:59:06,2025-11-08T10:00:00,Sin sesión,,,,13,AGUA-02,,18.19,21.5,12.22,1339.0,7.56,19.0
2025-11-08 11:00:15,2025-11-08T11:01:00,Sin sesión,,,,13,AGUA-02,,18.69,24.5,12.24,1340.0,7.91,23.0
2025-11-08 12:01:14,2025-11-08T12:02:07,Sin sesión,,,,13,AGUA-02,,19.25,26.25,12.24,1353.0,7.55,21.0
2025-11-08 13:02:20,2025-11-08T13:03:05,Sin sesión,,,,13,AGUA-02,,20.0,28.25,12.24,1361.0,7.66,24.0
2025-11-08 14:03:16,2025-11-08T14:04:01,Sin sesión,,,,13,AGUA-02,,21.5,29.75,12.25,1512.0,7.63,24.0
2025-11-08 15:04:19,2025-11-08T15:05:13,Sin sesión,,,,13,AGUA-02,,24.06,33.0,12.28,1617.0,7.61,24.0
2025-11-08 16:05:26,2025-11-08T16:06:20,Sin sesión,,,,13,AGUA-02,,25.06,34.5,12.28,1635.0,7.72,24.0
2025-11-08 17:06:27,2025-11-08T17:07:58,Sin sesión,,,,13,AGUA-02,,22.19,34.0,12.3,1640.0,7.93,7.0
2025-11-08 18:07:55,2025-11-08T18:08:57,Sin sesión,,,,13,AGUA-02,,22.19,32.5,12.3,1630.0,8.05,8.0
2025-11-08 19:08:57,2025-11-08T19:09:50,Sin sesión,,,,13,AGUA-02,,22.06,30.0,12.3,1615.0,8.15,21.0
2025-11-08 20:09:39,2025-11-08T20:11:05,Sin sesión,,,,13,AGUA-02,,21.5,24.75,12.28,1595.0,8.24,6.0
2025-11-08 21:10:53,2025-11-08T21:11:55,Sin sesión,,,,13,AGUA-02,,21.62,21.5,12.24,1580.0,8.24,8.0
2025-11-08 22:12:04,2025-11-08T22:12:53,Sin sesión,,,,13,AGUA-02,,21.06,20.75,12.24,1565.0,8.2,22.0
2025-11-08 23:12:56,2025-11-08T23:13:43,Sin sesión,,,,13,AGUA-02,,20.62,20.0,12.23,1551.0,8.18,24.0
2025-11-09 00:13:48,2025-11-09T00:14:52,Sin sesión,,,,13,AGUA-02,,20.25,20.0,12.22,1539.0,8.16,18.0
2025-11-09 01:14:56,2025-11-09T01:15:51,Sin sesión,,,,13,AGUA-02,,20.19,20.0,12.22,1535.0,8.18,23.0
2025-11-09 02:15:55,2025-11-09T02:17:14,Sin sesión,,,,13,AGUA-02,,20.12,20.0,12.2,1531.0,8.16,10.0
2025-11-09 03:17:18,2025-11-09T03:18:14,Sin sesión,,,,13,AGUA-02,,20.06,20.0,12.19,1527.0,8.14,9.0
2025-11-09 04:18:27,2025-11-09T04:19:53,Sin sesión,,,,13,AGUA-02,,20.0,20.0,12.19,1526.0,8.1,10.0
2025-11-09 05:19:57,2025-11-09T05:20:52,Sin sesión,,,,13,AGUA-02,,19.75,19.75,12.19,1522.0,8.07,9.0
2025-11-09 06:21:07,2025-11-09T06:22:05,Sin sesión,,,,13,AGUA-02,,19.56,19.75,12.18,1516.0,8.06,22.0
2025-11-09 07:22:10,2025-11-09T07:23:03,Sin sesión,,,,13,AGUA-02,,19.44,19.5,12.18,1509.0,8.04,22.0
2025-11-09 08:23:10,2025-11-09T08:23:55,Sin sesión,,,,13,AGUA-02,,19.75,20.0,12.21,1508.0,8.04,20.0
2025-11-09 09:24:02,2025-11-09T09:24:47,Sin sesión,,,,13,AGUA-02,,19.88,20.75,12.22,1507.0,8.03,20.0
2025-11-09 10:24:55,2025-11-09T10:25:39,Sin sesión,,,,13,AGUA-02,,18.75,22.0,12.24,1507.0,8.03,23.0
2025-11-09 11:25:53,2025-11-09T11:26:38,Sin sesión,,,,13,AGUA-02,,19.44,24.25,12.24,1524.0,7.99,21.0
2025-11-09 12:26:43,2025-11-09T12:27:27,Sin sesión,,,,13,AGUA-02,,20.88,25.0,12.24,1562.0,7.55,21.0
2025-11-09 13:27:44,2025-11-09T13:28:28,Sin sesión,,,,13,AGUA-02,,24.06,28.75,12.25,1602.0,7.5,22.0
2025-11-09 14:28:40,2025-11-09T14:29:25,Sin sesión,,,,13,AGUA-02,,23.38,31.5,12.27,1629.0,7.47,23.0
2025-11-09 15:29:45,2025-11-09T15:30:38,Sin sesión,,,,13,AGUA-02,,24.19,35.0,12.28,1653.0,7.61,22.0
2025-11-09 16:30:49,2025-11-09T16:31:33,Sin sesión,,,,13,AGUA-02,,25.44,37.0,12.3,1682.0,7.78,23.0
2025-11-09 17:31:36,2025-11-09T17:32:20,Sin sesión,,,,13,AGUA-02,,25.0,35.25,12.29,1690.0,8.01,23.0
2025-11-09 18:32:19,2025-11-09T18:33:13,Sin sesión,,,,13,AGUA-02,,23.62,32.0,12.3,1670.0,8.08,23.0
