fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,A01NYUB [Distancia (m)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],LIQ-136 [Profundidad (m)],SHT40 [Grados celcius (°C)],SHT40 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-06 01:37:57,2025-11-06T09:07:40,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,11.5,8.05,0.47,11.7,88.3,31.0
2025-11-06 02:07:51,2025-11-06T09:07:44,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,11.75,8.05,0.47,12.28,87.11,31.0
2025-11-06 02:37:45,2025-11-06T09:07:48,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,12.5,8.05,0.47,12.27,85.91,31.0
2025-11-06 03:07:40,2025-11-06T09:07:53,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,12.75,8.05,0.47,12.19,84.95,31.0
2025-11-06 03:37:33,2025-11-06T09:07:57,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,12.75,8.05,0.47,12.17,82.87,31.0
2025-11-06 04:07:27,2025-11-06T09:08:01,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,12.75,8.05,0.47,12.0,84.67,31.0
2025-11-06 04:37:18,2025-11-06T09:08:05,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,12.75,8.05,0.47,11.96,83.59,31.0
2025-11-06 05:07:11,2025-11-06T09:08:09,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,12.5,8.05,0.46,11.56,84.93,31.0
2025-11-06 05:37:04,2025-11-06T09:08:14,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,12.5,8.04,0.46,11.59,83.82,31.0
2025-11-06 06:06:56,2025-11-06T09:08:18,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,12.25,8.05,0.46,11.62,83.89,31.0
2025-11-06 06:36:50,2025-11-06T09:08:22,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,12.25,8.05,0.47,11.62,81.18,31.0
2025-11-06 07:06:43,2025-11-06T09:08:26,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,12.25,8.05,0.46,11.73,78.94,31.0
2025-11-06 07:36:38,2025-11-06T09:08:31,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,12.5,8.05,0.46,11.88,80.34,31.0
2025-11-06 08:06:32,2025-11-06T09:08:35,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,12.75,8.05,0.46,11.88,78.35,31.0
2025-11-06 08:36:26,2025-11-06T09:08:40,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,13.25,8.05,0.46,12.17,78.57,31.0
2025-11-06 09:06:20,2025-11-06T09:08:44,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,13.75,8.05,0.46,12.16,77.53,31.0
2025-11-06 09:38:28,2025-11-06T21:07:20,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,14.0,8.05,0.46,12.4,76.59,28.0
2025-11-06 10:08:22,2025-11-06T21:07:25,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,14.25,8.05,0.46,12.73,78.71,28.0
2025-11-06 10:38:15,2025-11-06T21:07:30,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,14.5,8.05,0.46,12.84,77.28,28.0
2025-11-06 11:08:09,2025-11-06T21:07:35,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,14.75,8.05,0.46,13.32,74.42,28.0
2025-11-06 11:38:05,2025-11-06T21:07:40,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,15.75,8.05,0.46,13.84,70.43,28.0
2025-11-06 12:08:01,2025-11-06T21:07:44,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,17.75,8.05,0.46,14.95,64.87,28.0
2025-11-06 12:38:02,2025-11-06T21:07:49,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,21.75,8.05,0.47,16.56,59.46,28.0
2025-11-06 13:07:55,2025-11-06T21:07:53,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,21.0,8.05,0.47,15.55,67.38,28.0
2025-11-06 13:37:45,2025-11-06T21:07:58,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,20.5,8.05,0.46,16.31,59.79,28.0
2025-11-06 14:07:41,2025-11-06T21:08:02,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,21.75,8.05,0.46,16.66,56.17,28.0
2025-11-06 14:37:36,2025-11-06T21:08:07,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,22.75,8.05,0.47,17.45,57.67,28.0
2025-11-06 15:07:30,2025-11-06T21:08:12,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,23.75,8.05,0.47,17.86,50.76,28.0
2025-11-06 15:37:29,2025-11-06T21:08:17,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,25.0,8.05,0.46,18.04,52.42,28.0
2025-11-06 16:07:24,2025-11-06T21:08:22,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,25.75,8.05,0.46,18.0,53.42,28.0
2025-11-06 16:37:12,2025-11-06T21:08:26,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,24.25,8.05,0.46,17.82,54.63,28.0
2025-11-06 17:07:06,2025-11-06T21:08:31,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,25.0,8.05,0.46,18.22,51.89,28.0
2025-11-06 17:36:58,2025-11-06T21:08:35,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,24.5,8.05,0.46,18.44,55.27,28.0
2025-11-06 18:06:53,2025-11-06T21:08:41,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,24.0,8.05,0.46,17.41,51.12,28.0
2025-11-06 18:36:38,2025-11-06T21:08:45,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,20.0,8.05,0.46,16.72,58.0,28.0
2025-11-06 19:06:29,2025-11-06T21:08:50,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,18.25,8.05,0.46,15.93,62.75,28.0
2025-11-06 19:36:22,2025-11-06T21:08:54,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.0,18.0,8.05,0.47,15.86,64.79,28.0
2025-11-06 20:06:13,2025-11-06T21:08:59,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,16.75,8.05,0.46,15.3,64.79,28.0
2025-11-06 20:36:06,2025-11-06T21:09:03,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,15.75,8.05,0.46,14.32,71.64,28.0
2025-11-06 21:05:57,2025-11-06T21:09:08,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,14.75,8.05,0.46,13.82,75.2,28.0
2025-11-06 21:38:51,2025-11-07T09:07:22,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,14.5,8.05,0.46,13.59,73.9,29.0
2025-11-07 09:42:17,2025-11-07T21:10:21,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,21.75,8.05,0.46,15.4,68.4,14.0
2025-11-07 10:12:12,2025-11-07T21:10:25,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,22.5,8.05,0.46,15.25,69.78,14.0
2025-11-07 10:42:04,2025-11-07T21:10:29,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,23.0,8.05,0.46,16.3,54.57,14.0
2025-11-07 11:12:02,2025-11-07T21:10:34,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,25.5,8.05,0.46,17.34,56.22,14.0
2025-11-07 11:41:56,2025-11-07T21:10:38,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,26.0,8.05,0.46,17.38,54.82,14.0
2025-11-07 12:11:47,2025-11-07T21:10:42,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,26.5,8.05,0.46,18.4,48.04,14.0
2025-11-07 12:41:40,2025-11-07T21:10:47,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,27.5,8.05,0.46,19.65,42.91,14.0
2025-11-07 13:11:33,2025-11-07T21:10:51,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,28.0,8.05,0.46,20.59,35.65,14.0
2025-11-07 13:41:27,2025-11-07T21:10:55,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,29.0,8.05,0.46,21.23,35.16,14.0
2025-11-07 14:11:22,2025-11-07T21:11:00,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,30.0,8.05,0.46,22.0,30.58,14.0
2025-11-07 14:41:17,2025-11-07T21:11:04,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,31.5,8.05,0.46,22.9,27.02,14.0
2025-11-07 15:11:12,2025-11-07T21:11:08,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,32.0,8.05,0.46,22.93,27.72,14.0
2025-11-07 15:41:06,2025-11-07T21:11:13,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,32.75,8.05,0.46,23.47,26.94,14.0
2025-11-07 16:11:02,2025-11-07T21:11:17,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,35.5,8.05,0.46,24.5,29.99,14.0
2025-11-07 16:40:58,2025-11-07T21:11:21,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,37.0,8.05,0.46,24.16,35.71,14.0
2025-11-07 17:10:49,2025-11-07T21:11:25,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,36.5,8.05,0.46,24.66,26.21,14.0
2025-11-07 17:40:44,2025-11-07T21:11:30,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,37.0,8.05,0.46,24.57,28.99,14.0
2025-11-07 18:10:40,2025-11-07T21:11:34,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,38.5,8.05,0.46,24.53,28.77,14.0
2025-11-07 18:40:35,2025-11-07T21:11:38,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,40.5,8.05,0.46,25.77,29.21,14.0
2025-11-07 19:10:26,2025-11-07T21:11:43,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,38.75,8.05,0.46,24.24,31.88,14.0
2025-11-07 19:40:12,2025-11-07T21:11:47,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,33.25,8.05,0.46,22.12,45.05,14.0
2025-11-07 20:09:50,2025-11-07T21:11:51,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,25.5,8.05,0.46,20.82,50.97,14.0
2025-11-07 20:39:36,2025-11-07T21:11:56,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.01,22.25,8.05,0.45,19.68,53.08,14.0
2025-11-07 21:09:26,2025-11-07T21:12:00,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,20.25,8.05,0.46,18.63,56.59,14.0
2025-11-07 21:41:42,2025-11-08T09:10:30,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,19.0,8.05,0.46,18.03,59.62,27.0
2025-11-07 22:11:32,2025-11-08T09:10:36,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,18.0,8.05,0.46,17.53,57.77,27.0
2025-11-07 22:41:23,2025-11-08T09:10:41,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,17.25,8.05,0.46,16.81,63.04,27.0
2025-11-07 23:11:15,2025-11-08T09:10:46,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,16.0,8.05,0.46,14.7,69.05,27.0
2025-11-07 23:41:07,2025-11-08T09:10:51,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,14.5,8.05,0.46,13.77,78.28,27.0
2025-11-08 00:10:58,2025-11-08T09:10:56,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,13.5,8.05,0.46,12.27,80.72,27.0
2025-11-08 00:40:49,2025-11-08T09:11:01,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,12.25,8.05,0.46,11.93,82.29,27.0
2025-11-08 01:10:42,2025-11-08T09:11:06,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,11.5,8.05,0.46,11.72,81.79,27.0
2025-11-08 01:40:34,2025-11-08T09:11:10,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,11.0,8.05,0.46,11.06,82.07,27.0
2025-11-08 02:10:27,2025-11-08T09:11:15,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,10.5,8.05,0.46,10.52,83.71,27.0
2025-11-08 02:40:19,2025-11-08T09:11:20,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,10.25,8.05,0.46,10.78,83.93,27.0
2025-11-08 03:10:10,2025-11-08T09:11:25,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,10.0,8.05,0.46,10.49,88.99,27.0
2025-11-08 03:40:03,2025-11-08T09:11:31,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,9.75,8.05,0.46,10.1,88.05,27.0
2025-11-08 04:09:55,2025-11-08T09:11:35,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,9.5,8.05,0.46,10.16,92.18,27.0
2025-11-08 04:39:48,2025-11-08T09:11:40,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,9.25,8.05,0.46,9.13,92.22,27.0
2025-11-08 05:09:41,2025-11-08T09:11:45,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,9.0,8.04,0.46,8.91,90.69,27.0
2025-11-08 05:39:34,2025-11-08T09:11:50,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,8.5,8.05,0.46,9.09,92.77,27.0
2025-11-08 06:09:27,2025-11-08T09:11:55,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,8.5,8.05,0.46,8.99,93.89,27.0
2025-11-08 06:39:21,2025-11-08T09:11:59,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,8.25,8.05,0.46,8.45,94.79,27.0
2025-11-08 07:09:16,2025-11-08T09:12:04,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,8.5,8.04,0.46,9.73,89.95,27.0
2025-11-08 07:39:14,2025-11-08T09:12:08,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,11.75,8.05,0.46,11.94,86.4,27.0
2025-11-08 08:09:20,2025-11-08T09:12:14,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,17.5,8.05,0.46,15.38,73.71,27.0
2025-11-08 08:39:20,2025-11-08T09:12:18,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,20.5,8.05,0.46,14.18,80.31,27.0
2025-11-08 09:09:15,2025-11-08T09:12:23,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,23.25,8.05,0.46,15.97,70.83,27.0
2025-11-08 09:42:06,2025-11-08T21:10:09,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,23.25,8.05,0.46,16.32,69.74,27.0
2025-11-08 21:45:01,2025-11-09T09:13:06,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,14.25,8.05,0.45,13.45,78.74,31.0
2025-11-08 22:14:53,2025-11-09T09:13:10,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,13.75,8.05,0.45,13.13,80.89,31.0
2025-11-08 22:44:45,2025-11-09T09:13:14,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,13.25,8.05,0.45,13.03,80.69,31.0
2025-11-08 23:14:37,2025-11-09T09:13:19,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.03,13.0,8.05,0.45,12.73,81.2,31.0
2025-11-08 23:44:30,2025-11-09T09:13:23,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,12.75,8.05,0.45,12.65,81.26,31.0
2025-11-09 00:14:22,2025-11-09T09:13:27,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,12.5,8.05,0.45,12.87,83.89,31.0
2025-11-09 00:44:16,2025-11-09T09:13:32,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,12.75,8.05,0.45,13.07,83.04,31.0
2025-11-09 01:14:09,2025-11-09T09:13:36,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,13.25,8.05,0.45,12.97,81.57,31.0
2025-11-09 01:44:02,2025-11-09T09:13:40,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,13.5,8.05,0.45,13.18,79.51,31.0
2025-11-09 02:13:56,2025-11-09T09:13:45,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",1.02,13.75,8.05,0.45,13.18,79.78,31.0
