fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (uS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-04T09:01:00,2025-11-04 09:01:54,Sin sesión,,,,13,AGUA-02,,0.0,21.25,12.24,0.0,0.0,19.0
2025-11-04T10:02:04,2025-11-04 10:02:57,Sin sesión,,,,13,AGUA-02,,0.0,22.75,12.35,0.0,0.0,17.0
2025-11-04T11:03:06,2025-11-04 11:03:51,Sin sesión,,,,13,AGUA-02,,0.0,24.25,12.42,0.0,0.0,22.0
2025-11-04T12:04:01,2025-11-04 12:04:45,Sin sesión,,,,13,AGUA-02,,0.0,25.5,12.24,0.0,0.0,22.0
2025-11-04T13:04:59,2025-11-04 13:05:44,Sin sesión,,,,13,AGUA-02,,0.0,30.0,12.35,0.0,0.0,21.0
2025-11-04T14:06:05,2025-11-04 15:09:08,Sin sesión,,,,13,AGUA-02,,0.0,32.75,12.44,0.0,0.0,10.0
2025-11-04T16:09:45,2025-11-04 16:10:29,Sin sesión,,,,13,AGUA-02,,0.0,37.75,12.37,0.0,0.0,23.0
2025-11-04T17:10:39,2025-11-04 17:11:24,Sin sesión,,,,13,AGUA-02,,0.0,37.75,12.34,0.0,0.0,22.0
2025-11-04T19:12:04,2025-11-04 19:12:57,Sin sesión,,,,13,AGUA-02,,0.0,34.0,12.29,0.0,0.0,23.0
2025-11-04T20:12:46,2025-11-04 20:13:45,Sin sesión,,,,13,AGUA-02,,0.0,28.25,12.44,0.0,0.0,23.0
2025-11-04T21:13:28,2025-11-04 21:14:13,Sin sesión,,,,13,AGUA-02,,0.0,25.0,12.38,0.0,0.0,22.0
2025-11-04T22:14:04,2025-11-04 22:14:48,Sin sesión,,,,13,AGUA-02,,0.0,22.75,12.29,0.0,0.0,20.0
2025-11-04T23:14:44,2025-11-04 23:15:29,Sin sesión,,,,13,AGUA-02,,0.0,21.25,12.54,0.0,0.0,24.0
2025-11-05T00:15:28,2025-11-05 00:16:22,Sin sesión,,,,13,AGUA-02,,0.0,19.75,12.24,0.0,0.0,24.0
2025-11-05T01:16:21,2025-11-05 01:17:45,Sin sesión,,,,13,AGUA-02,,0.0,18.75,12.23,0.0,0.0,14.0
2025-11-05T02:17:48,2025-11-05 02:18:46,Sin sesión,,,,13,AGUA-02,,0.0,18.0,12.17,0.0,0.0,14.0
2025-11-05T03:18:58,2025-11-05 03:20:03,Sin sesión,,,,13,AGUA-02,,0.0,17.5,12.31,0.0,0.0,21.0
