fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-17 00:32:51,2025-11-17T00:33:45,Sin sesión,,,,13,AGUA-02,,24.25,22.5,12.22,1642.0,8.08,6.0
2025-11-17 01:33:54,2025-11-17T01:34:38,Sin sesión,,,,13,AGUA-02,,23.69,21.25,12.2,1632.0,8.06,19.0
2025-11-17 02:34:37,2025-11-17T02:35:57,Sin sesión,,,,13,AGUA-02,,23.31,20.25,12.2,1624.0,8.01,9.0
2025-11-17 03:35:59,2025-11-17T03:36:54,Sin sesión,,,,13,AGUA-02,,22.94,19.5,12.19,1613.0,7.96,7.0
2025-11-17 04:37:07,2025-11-17T04:38:27,Sin sesión,,,,13,AGUA-02,,22.5,18.75,12.18,1600.0,7.95,9.0
2025-11-17 05:38:31,2025-11-17T05:39:28,Sin sesión,,,,13,AGUA-02,,22.12,18.25,12.18,1587.0,7.95,8.0
2025-11-17 07:41:26,2025-11-17T07:42:21,Sin sesión,,,,13,AGUA-02,,21.38,19.0,12.18,1564.0,7.96,9.0
2025-11-17 08:42:49,2025-11-17T08:43:46,Sin sesión,,,,13,AGUA-02,,21.0,23.25,12.2,1565.0,7.94,24.0
2025-11-17 09:44:04,2025-11-17T09:45:08,Sin sesión,,,,13,AGUA-02,,22.44,26.25,12.2,1581.0,7.5,19.0
2025-11-17 10:45:20,2025-11-17T10:46:03,Sin sesión,,,,13,AGUA-02,,21.69,28.25,12.2,1596.0,7.88,21.0
2025-11-17 11:46:16,2025-11-17T11:47:09,Sin sesión,,,,13,AGUA-02,,24.19,30.5,12.24,1614.0,7.71,23.0
2025-11-17 12:47:23,2025-11-17T12:48:18,Sin sesión,,,,13,AGUA-02,,23.69,33.25,12.24,1641.0,6.87,21.0
2025-11-17 13:48:40,2025-11-17T13:49:24,Sin sesión,,,,13,AGUA-02,,24.19,37.25,12.27,1658.0,7.29,22.0
2025-11-17 14:49:34,2025-11-17T14:50:18,Sin sesión,,,,13,AGUA-02,,24.75,40.0,12.27,1671.0,6.91,24.0
2025-11-17 15:50:45,2025-11-17T15:51:49,Sin sesión,,,,13,AGUA-02,,25.12,43.25,12.29,1678.0,7.17,23.0
2025-11-17 16:51:50,2025-11-17T16:52:34,Sin sesión,,,,13,AGUA-02,,25.38,43.0,12.31,1683.0,7.47,24.0
2025-11-17 17:52:40,2025-11-17T17:53:24,Sin sesión,,,,13,AGUA-02,,25.44,43.25,12.28,1678.0,7.66,23.0
2025-11-17 19:54:47,2025-11-17T19:55:47,Sin sesión,,,,13,AGUA-02,,27.5,36.25,12.3,1672.0,8.03,6.0
2025-11-17 20:55:46,2025-11-17T20:56:29,Sin sesión,,,,13,AGUA-02,,24.75,32.5,12.27,1656.0,8.14,19.0
2025-11-17 21:56:21,2025-11-17T21:57:04,Sin sesión,,,,13,AGUA-02,,24.5,29.0,12.24,1640.0,8.11,23.0
2025-11-17 22:56:58,2025-11-17T22:58:25,Sin sesión,,,,13,AGUA-02,,24.12,27.0,12.24,1626.0,8.06,7.0
2025-11-17 23:58:23,2025-11-17T23:59:30,Sin sesión,,,,13,AGUA-02,,23.75,25.25,12.24,1616.0,8.03,10.0
2025-11-18 00:59:29,2025-11-18T01:00:17,Sin sesión,,,,13,AGUA-02,,24.31,23.5,12.24,1609.0,7.97,20.0
2025-11-18 02:00:18,2025-11-18T02:01:02,Sin sesión,,,,13,AGUA-02,,23.81,22.25,12.21,1602.0,7.93,22.0
2025-11-18 03:01:02,2025-11-18T03:02:11,Sin sesión,,,,13,AGUA-02,,23.38,21.25,12.19,1594.0,7.9,7.0
2025-11-18 04:02:21,2025-11-18T05:05:09,Sin sesión,,,,13,AGUA-02,,22.94,20.5,12.2,1579.0,7.83,22.0
2025-11-18 05:04:12,2025-11-18T05:05:13,Sin sesión,,,,13,AGUA-02,,22.56,19.75,12.19,1568.0,7.87,22.0
2025-11-18 06:05:15,2025-11-18T06:06:08,Sin sesión,,,,13,AGUA-02,,22.19,19.0,12.18,1558.0,7.88,20.0
2025-11-18 07:06:09,2025-11-18T07:07:13,Sin sesión,,,,13,AGUA-02,,21.88,18.75,12.18,1575.0,7.91,22.0
2025-11-18 08:07:21,2025-11-18T08:08:05,Sin sesión,,,,13,AGUA-02,,22.06,21.5,12.2,1572.0,7.93,20.0
2025-11-18 09:08:27,2025-11-18T09:09:19,Sin sesión,,,,13,AGUA-02,,21.38,25.0,12.19,1576.0,7.74,20.0
2025-11-18 10:09:34,2025-11-18T10:10:18,Sin sesión,,,,13,AGUA-02,,23.56,27.25,12.2,1585.0,7.46,22.0
2025-11-18 11:10:32,2025-11-18T11:11:35,Sin sesión,,,,13,AGUA-02,,22.06,29.25,12.23,1605.0,7.92,21.0
2025-11-18 12:11:47,2025-11-18T12:12:39,Sin sesión,,,,13,AGUA-02,,22.94,31.25,12.24,1608.0,7.13,24.0
