fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,A01NYUB [Distancia (m)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],LIQ-136 [Profundidad (m)],SHT40 [Grados celcius (°C)],SHT40 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-11-16 21:59:16,2025-11-17T09:28:27,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,20.0,7.97,1.07,19.43,57.29,31.0
2025-11-16 22:29:08,2025-11-17T09:28:32,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,19.0,7.96,1.07,18.95,66.3,31.0
2025-11-16 22:59:02,2025-11-17T09:28:36,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,18.0,7.96,1.07,17.91,62.18,31.0
2025-11-16 23:28:55,2025-11-17T09:28:41,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,17.5,7.94,1.07,17.75,65.5,31.0
2025-11-16 23:58:52,2025-11-17T09:28:46,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,17.5,7.92,1.06,19.12,54.39,31.0
2025-11-17 00:28:49,2025-11-17T09:28:50,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,18.75,7.93,1.07,20.03,53.21,31.0
2025-11-17 00:58:45,2025-11-17T09:28:54,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,18.75,7.95,1.07,17.34,65.42,31.0
2025-11-17 01:28:38,2025-11-17T09:28:58,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,17.75,7.92,1.07,17.06,67.87,31.0
2025-11-17 01:58:31,2025-11-17T09:29:03,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,17.0,7.92,1.07,16.29,69.13,31.0
2025-11-17 02:28:23,2025-11-17T09:29:08,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,15.75,7.94,1.07,15.02,70.76,31.0
2025-11-17 02:58:16,2025-11-17T09:29:12,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,14.5,7.92,1.07,13.81,75.45,31.0
2025-11-17 03:28:10,2025-11-17T09:29:17,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,14.0,7.94,1.07,13.99,75.07,31.0
2025-11-17 03:58:03,2025-11-17T09:29:21,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,13.25,7.91,1.06,12.72,81.07,31.0
2025-11-17 04:27:56,2025-11-17T09:29:26,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,12.5,7.91,1.06,12.1,79.4,31.0
2025-11-17 04:57:50,2025-11-17T09:29:30,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,11.75,7.91,1.06,11.61,79.61,31.0
2025-11-17 05:27:44,2025-11-17T09:29:35,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,11.5,7.91,1.06,11.92,75.97,31.0
2025-11-17 05:57:37,2025-11-17T09:29:39,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,11.0,7.93,1.06,10.87,82.0,31.0
