fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-12-02T12:54:52,2025-12-02 12:54:52,Sin sesión,,,,18,HIRIPRO-05,,31.5,2.718,5.0,0.0,0.0,340.0,1.0,25.5,22.7,43.0,78.0,66.0,29.61,17.3,11.0,0.0,0.0,0.0,0.0,"30669297, 30669298, 30669299, 30669300, 30669301, 30669302, 30669303, 30669304, 30669305, 30669306, 30669307, 30669308, 30669309, 30669310, 30669311, 30669312, 30669313, 30669314, 30669315"
2025-12-02T12:54:48,2025-12-02 12:54:48,Sin sesión,,,,18,HIRIPRO-05,,31.25,2.81,5.0,0.0,0.0,339.0,1.0,25.5,22.7,43.0,88.0,73.0,29.59,17.22,11.0,0.0,0.0,0.0,0.0,"30669278, 30669279, 30669280, 30669281, 30669282, 30669283, 30669284, 30669285, 30669286, 30669287, 30669288, 30669289, 30669290, 30669291, 30669292, 30669293, 30669294, 30669295, 30669296"
2025-12-02T12:54:45,2025-12-02 12:54:45,Sin sesión,,,,18,HIRIPRO-05,,31.25,2.81,5.0,0.0,0.0,338.0,1.0,25.4,22.7,40.0,199.0,199.0,29.59,17.32,11.0,0.0,0.0,0.0,0.0,"30669259, 30669260, 30669261, 30669262, 30669263, 30669264, 30669265, 30669266, 30669267, 30669268, 30669269, 30669270, 30669271, 30669272, 30669273, 30669274, 30669275, 30669276, 30669277"
2025-12-02T12:54:42,2025-12-02 12:54:42,Sin sesión,,,,18,HIRIPRO-05,,31.5,2.81,5.0,0.0,0.0,337.0,1.0,25.4,22.8,34.0,276.0,276.0,29.59,17.32,11.0,0.0,0.0,0.0,0.0,"30669240, 30669241, 30669242, 30669243, 30669244, 30669245, 30669246, 30669247, 30669248, 30669249, 30669250, 30669251, 30669252, 30669253, 30669254, 30669255, 30669256, 30669257, 30669258"
2025-12-02T12:54:39,2025-12-02 12:54:39,Sin sesión,,,,18,HIRIPRO-05,,31.5,2.866,5.0,0.0,0.0,336.0,1.0,25.4,22.7,22.0,454.0,454.0,29.57,17.46,11.0,0.0,0.0,0.0,0.0,"30669189, 30669190, 30669191, 30669192, 30669193, 30669194, 30669195, 30669196, 30669197, 30669198, 30669199, 30669200, 30669201, 30669202, 30669203, 30669204, 30669205, 30669206, 30669207"
2025-12-02T12:54:36,2025-12-02 12:54:36,Sin sesión,,,,18,HIRIPRO-05,,31.25,2.866,5.0,0.0,0.0,335.0,1.0,25.4,22.8,14.0,657.0,634.0,29.58,17.42,11.0,0.0,0.0,0.0,0.0,"30669170, 30669171, 30669172, 30669173, 30669174, 30669175, 30669176, 30669177, 30669178, 30669179, 30669180, 30669181, 30669182, 30669183, 30669184, 30669185, 30669186, 30669187, 30669188"
2025-12-02T12:54:33,2025-12-02 12:54:33,Sin sesión,,,,18,HIRIPRO-05,,31.5,2.91,5.0,0.0,0.0,334.0,1.0,25.4,22.7,14.0,722.0,674.0,29.57,17.36,11.0,0.0,0.0,0.0,0.0,"30669151, 30669152, 30669153, 30669154, 30669155, 30669156, 30669157, 30669158, 30669159, 30669160, 30669161, 30669162, 30669163, 30669164, 30669165, 30669166, 30669167, 30669168, 30669169"
2025-12-02T12:54:30,2025-12-02 12:54:30,Sin sesión,,,,18,HIRIPRO-05,,31.5,2.91,5.0,0.0,0.0,333.0,1.0,25.4,22.8,19.0,712.0,643.0,29.58,17.36,11.0,0.0,0.0,0.0,0.0,"30669132, 30669133, 30669134, 30669135, 30669136, 30669137, 30669138, 30669139, 30669140, 30669141, 30669142, 30669143, 30669144, 30669145, 30669146, 30669147, 30669148, 30669149, 30669150"
2025-12-02T12:54:27,2025-12-02 12:54:27,Sin sesión,,,,18,HIRIPRO-05,,31.5,2.96,5.0,0.0,0.0,332.0,1.0,25.4,22.8,27.0,722.0,628.0,29.59,17.29,11.0,0.0,0.0,0.0,0.0,"30669113, 30669114, 30669115, 30669116, 30669117, 30669118, 30669119, 30669120, 30669121, 30669122, 30669123, 30669124, 30669125, 30669126, 30669127, 30669128, 30669129, 30669130, 30669131"
2025-12-02T12:54:24,2025-12-02 12:54:24,Sin sesión,,,,18,HIRIPRO-05,,31.25,2.96,5.0,0.0,0.0,331.0,1.0,25.4,22.8,40.0,637.0,544.0,29.57,17.41,11.0,0.0,0.0,0.0,0.0,"30669094, 30669095, 30669096, 30669097, 30669098, 30669099, 30669100, 30669101, 30669102, 30669103, 30669104, 30669105, 30669106, 30669107, 30669108, 30669109, 30669110, 30669111, 30669112"
2025-12-02T12:54:21,2025-12-02 12:54:21,Sin sesión,,,,18,HIRIPRO-05,,31.25,2.96,5.0,0.0,0.0,330.0,1.0,25.4,22.7,47.0,587.0,493.0,29.57,17.37,11.0,0.0,0.0,0.0,0.0,"30669075, 30669076, 30669077, 30669078, 30669079, 30669080, 30669081, 30669082, 30669083, 30669084, 30669085, 30669086, 30669087, 30669088, 30669089, 30669090, 30669091, 30669092, 30669093"
2025-12-02T12:54:18,2025-12-02 12:54:18,Sin sesión,,,,18,HIRIPRO-05,,31.5,3.025,5.0,0.0,0.0,329.0,1.0,25.4,22.8,63.0,547.0,454.0,29.58,17.41,11.0,0.0,0.0,0.0,0.0,"30669056, 30669057, 30669058, 30669059, 30669060, 30669061, 30669062, 30669063, 30669064, 30669065, 30669066, 30669067, 30669068, 30669069, 30669070, 30669071, 30669072, 30669073, 30669074"
2025-12-02T12:54:15,2025-12-02 12:54:15,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.025,5.0,0.0,0.0,328.0,1.0,25.4,22.8,83.0,423.0,356.0,29.57,17.45,11.0,0.0,0.0,0.0,0.0,"30669037, 30669038, 30669039, 30669040, 30669041, 30669042, 30669043, 30669044, 30669045, 30669046, 30669047, 30669048, 30669049, 30669050, 30669051, 30669052, 30669053, 30669054, 30669055"
2025-12-02T12:54:12,2025-12-02 12:54:12,Sin sesión,,,,18,HIRIPRO-05,,31.25,3.068,5.0,0.0,0.0,327.0,1.0,25.4,22.8,86.0,395.0,333.0,29.54,17.52,11.0,0.0,0.0,0.0,0.0,"30669018, 30669019, 30669020, 30669021, 30669022, 30669023, 30669024, 30669025, 30669026, 30669027, 30669028, 30669029, 30669030, 30669031, 30669032, 30669033, 30669034, 30669035, 30669036"
2025-12-02T12:54:09,2025-12-02 12:54:09,Sin sesión,,,,18,HIRIPRO-05,,31.5,3.068,5.0,0.0,0.0,326.0,1.0,25.4,22.8,80.0,336.0,296.0,29.55,17.61,11.0,0.0,0.0,0.0,0.0,"30668999, 30669000, 30669001, 30669002, 30669003, 30669004, 30669005, 30669006, 30669007, 30669008, 30669009, 30669010, 30669011, 30669012, 30669013, 30669014, 30669015, 30669016, 30669017"
