fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SHT-31 [Grados celcius (°C)],SHT-31 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)]
2025-10-28 12:49:02,2025-10-28T12:49:02,Sin sesión,,,,18,HIRIPRO-05,,48.25,3.948,5.0,-33.391403,-70.499832,1306.0,1.0,45.9,36.2,0.0,0.0,0.0,55.53,29.59,13.0,-33.391403,-70.499832,6.0,0.0
2025-10-28 12:49:05,2025-10-28T12:49:05,Sin sesión,,,,18,HIRIPRO-05,,48.25,3.941,5.0,-33.391403,-70.499832,1307.0,1.0,45.9,36.1,0.0,0.0,0.0,55.52,29.61,13.0,-33.391403,-70.499832,6.0,0.0
2025-10-28 12:49:08,2025-10-28T12:49:08,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.932,5.0,-33.391403,-70.499832,1308.0,1.0,45.9,36.2,0.0,0.0,0.0,55.53,29.57,13.0,-33.391403,-70.499832,6.0,0.0
2025-10-28 12:49:11,2025-10-28T12:49:11,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.932,5.0,-33.391403,-70.499832,1309.0,1.0,45.9,36.2,0.0,0.0,0.0,55.52,29.62,13.0,-33.391403,-70.499832,8.0,0.0
2025-10-28 12:49:14,2025-10-28T12:49:14,Sin sesión,,,,18,HIRIPRO-05,,48.25,3.938,5.0,-33.391403,-70.499832,1310.0,1.0,46.0,36.2,0.0,0.0,0.0,55.53,29.59,13.0,-33.391403,-70.499832,8.0,0.0
2025-10-28 12:49:17,2025-10-28T12:49:17,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.907,5.0,-33.391403,-70.499832,1311.0,1.0,46.0,36.2,0.0,0.0,0.0,55.55,29.59,13.0,-33.391403,-70.499832,7.0,0.0
2025-10-28 12:49:20,2025-10-28T12:49:20,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.917,5.0,-33.391403,-70.499832,1312.0,1.0,46.0,36.2,0.0,0.0,0.0,55.58,29.61,13.0,-33.391403,-70.499832,6.0,0.0
2025-10-28 12:49:23,2025-10-28T12:49:23,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.935,5.0,-33.391403,-70.499832,1313.0,1.0,46.0,36.2,0.0,0.0,0.0,55.58,29.54,13.0,-33.391403,-70.499832,7.0,0.0
2025-10-28 12:49:26,2025-10-28T12:49:26,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.935,5.0,-33.391403,-70.499832,1314.0,1.0,46.0,36.2,0.0,0.0,0.0,55.55,29.61,13.0,-33.391403,-70.499832,7.0,0.0
2025-10-28 12:49:29,2025-10-28T12:49:29,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.945,5.0,-33.391403,-70.499832,1315.0,1.0,46.0,36.2,0.0,0.0,0.0,55.56,29.64,13.0,-33.391403,-70.499832,7.0,0.0
2025-10-28 12:49:32,2025-10-28T12:49:32,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.95,5.0,-33.391403,-70.499832,1316.0,1.0,46.0,36.2,0.0,0.0,0.0,55.56,29.63,13.0,-33.391403,-70.499832,7.0,0.0
2025-10-28 12:49:35,2025-10-28T12:49:35,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.928,5.0,-33.391403,-70.499832,1317.0,1.0,46.0,36.2,0.0,0.0,0.0,55.59,29.61,13.0,-33.391403,-70.499832,7.0,0.0
2025-10-28 12:49:38,2025-10-28T12:49:38,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.917,5.0,-33.391403,-70.499832,1318.0,1.0,46.0,36.1,0.0,0.0,0.0,55.58,29.6,13.0,-33.391403,-70.499832,7.0,0.0
2025-10-28 12:49:41,2025-10-28T12:49:41,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.925,5.0,-33.391403,-70.499832,1319.0,1.0,46.0,36.1,0.0,0.0,0.0,55.6,29.58,13.0,-33.391403,-70.499832,7.0,0.0
2025-10-28 12:49:44,2025-10-28T12:49:44,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.89,5.0,-33.391403,-70.499832,1320.0,1.0,46.0,36.1,0.0,0.0,0.0,55.6,29.53,13.0,-33.391403,-70.499832,5.0,0.0
2025-10-28 12:49:47,2025-10-28T12:49:47,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.934,5.0,-33.391403,-70.499832,1321.0,1.0,46.0,36.2,0.0,0.0,0.0,55.62,29.61,13.0,-33.391403,-70.499832,6.0,0.0
2025-10-28 12:49:50,2025-10-28T12:49:50,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.907,5.0,-33.391403,-70.499832,1322.0,1.0,46.0,36.2,0.0,0.0,0.0,55.6,29.55,13.0,-33.391403,-70.499832,6.0,0.0
2025-10-28 12:49:53,2025-10-28T12:49:53,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.889,5.0,-33.391403,-70.499832,1323.0,1.0,46.0,36.2,0.0,0.0,0.0,55.63,29.56,13.0,-33.391403,-70.499832,4.0,0.0
2025-10-28 12:49:56,2025-10-28T12:49:56,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.896,5.0,-33.391403,-70.499832,1324.0,1.0,46.0,36.2,0.0,0.0,0.0,55.62,29.55,13.0,-33.391403,-70.499832,5.0,0.0
2025-10-28 12:49:59,2025-10-28T12:49:59,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.896,5.0,-33.391403,-70.499832,1325.0,1.0,46.0,36.2,0.0,0.0,0.0,55.66,29.6,13.0,-33.391403,-70.499832,5.0,0.0
2025-10-28 12:50:02,2025-10-28T12:50:02,Sin sesión,,,,18,HIRIPRO-05,,48.5,3.905,5.0,-33.391403,-70.499832,1326.0,1.0,46.0,36.2,0.0,0.0,0.0,55.63,29.56,13.0,-33.391403,-70.499832,6.0,0.0
