fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SDS198 [Material particulado PM 100 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)],id_dato_concatenado
2025-11-24T11:39:32,2025-11-24 11:39:32,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,20.0,29.0,28.0,28.0,18.0,-33.391315,-70.5,0.0,0.0,"30144963, 30144964, 30144965, 30144966, 30144967, 30144968, 30144969, 30144970, 30144971, 30144972, 30144973, 30144974, 30144975, 30144976, 30144977, 30144978, 30144979, 30144980"
2025-11-24T11:38:59,2025-11-24 11:38:59,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,28.0,27.0,31.0,18.0,-33.391315,-70.5,0.0,0.0,"30144945, 30144946, 30144947, 30144948, 30144949, 30144950, 30144951, 30144952, 30144953, 30144954, 30144955, 30144956, 30144957, 30144958, 30144959, 30144960, 30144961, 30144962"
2025-11-24T11:38:56,2025-11-24 11:38:56,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,28.0,27.0,31.0,18.0,-33.391315,-70.5,0.0,0.0,"30144927, 30144928, 30144929, 30144930, 30144931, 30144932, 30144933, 30144934, 30144935, 30144936, 30144937, 30144938, 30144939, 30144940, 30144941, 30144942, 30144943, 30144944"
2025-11-24T11:38:28,2025-11-24 11:38:28,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,28.0,28.0,31.0,18.0,-33.391315,-70.5,0.0,0.0,"30144909, 30144910, 30144911, 30144912, 30144913, 30144914, 30144915, 30144916, 30144917, 30144918, 30144919, 30144920, 30144921, 30144922, 30144923, 30144924, 30144925, 30144926"
2025-11-24T11:38:19,2025-11-24 11:38:19,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,20.0,29.0,29.0,31.0,18.0,-33.391315,-70.5,0.0,0.0,"30144885, 30144886, 30144887, 30144888, 30144889, 30144890, 30144891, 30144892, 30144893, 30144894, 30144895, 30144896, 30144897, 30144898, 30144899, 30144900, 30144901, 30144902"
2025-11-24T11:37:44,2025-11-24 11:37:44,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,28.0,28.0,31.0,18.0,-33.391315,-70.5,0.0,0.0,"30144855, 30144856, 30144857, 30144858, 30144859, 30144860, 30144861, 30144862, 30144863, 30144864, 30144865, 30144866, 30144867, 30144868, 30144869, 30144870, 30144871, 30144872"
2025-11-24T11:37:29,2025-11-24 11:37:29,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,26.0,26.0,31.0,18.0,-33.391315,-70.5,0.0,0.0,"30144837, 30144838, 30144839, 30144840, 30144841, 30144842, 30144843, 30144844, 30144845, 30144846, 30144847, 30144848, 30144849, 30144850, 30144851, 30144852, 30144853, 30144854"
2025-11-24T11:36:37,2025-11-24 11:36:37,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,28.0,27.0,28.0,18.0,-33.391315,-70.5,0.0,0.0,"30144813, 30144814, 30144815, 30144816, 30144817, 30144818, 30144819, 30144820, 30144821, 30144822, 30144823, 30144824, 30144825, 30144826, 30144827, 30144828, 30144829, 30144830"
2025-11-24T11:36:22,2025-11-24 11:36:22,Sin sesión,,,,18,HIRIPRO-06,,23.25,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,20.0,31.0,30.0,27.0,18.0,-33.391315,-70.5,0.0,0.0,"30144757, 30144758, 30144759, 30144760, 30144761, 30144762, 30144763, 30144764, 30144765, 30144766, 30144767, 30144768, 30144769, 30144770, 30144771, 30144772, 30144773, 30144774"
2025-11-24T11:36:10,2025-11-24 11:36:10,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,18.0,29.0,28.0,27.0,18.0,-33.391315,-70.5,0.0,0.0,"30144695, 30144696, 30144697, 30144698, 30144699, 30144700, 30144701, 30144702, 30144703, 30144704, 30144705, 30144706, 30144707, 30144708, 30144709, 30144710, 30144711, 30144712"
2025-11-24T11:36:01,2025-11-24 11:36:01,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,19.0,29.0,28.0,28.0,18.0,-33.391315,-70.5,0.0,0.0,"30144671, 30144672, 30144673, 30144674, 30144675, 30144676, 30144677, 30144678, 30144679, 30144680, 30144681, 30144682, 30144683, 30144684, 30144685, 30144686, 30144687, 30144688"
2025-11-24T11:35:15,2025-11-24 11:35:15,Sin sesión,,,,18,HIRIPRO-06,,23.5,0.0,6.0,-33.391315,-70.5,53456.0,1.0,0.0,0.0,20.0,29.0,29.0,27.0,18.0,-33.391315,-70.5,0.0,0.0,"30144633, 30144634, 30144635, 30144636, 30144637, 30144638, 30144639, 30144640, 30144641, 30144642, 30144643, 30144644, 30144645, 30144646, 30144647, 30144648, 30144649, 30144650"
